牌組ID,牌組名稱,牌組圖示,卡牌名稱,說明,卡牌圖示,圖片,稀有度,標籤
items,物品卡,□,彈珠,能製造滑倒陷阱或分散注意，但效果不穩定。,,,C,
items,物品卡,□,粉筆,標記路線與訊息，簡單便宜但遇水就消失。,,,B,
items,物品卡,□,垃圾袋,可當雨披、水袋、收納袋，是被低估的生存道具。,,,A,
items,物品卡,□,小刀,切割能力直接明確，但距離短也有安全風險。,,,A,
items,物品卡,□,罐頭開罐器,在罐頭很多時是神器，在罐頭很少時像是裝飾。,,,B,
items,物品卡,□,防曬乳,長時間戶外任務能保護皮膚，但不能提供立即戰力。,,,B,
items,物品卡,□,小型無人機,偵查快速安全，但電量、噪音與操控都是問題。,,,A,
items,物品卡,□,淨水錠,輕便又能處理飲水危機，但數量有限且需要等待。,,,A,
items,物品卡,□,指南針手錶,方向與時間二合一，但仍需要地圖與判斷。,,,B,
items,物品卡,□,折疊椅,休息、墊高、阻擋都可用，但不算關鍵裝備。,,,C,
items,物品卡,□,滅火器,能處理火災也可短暫阻擋敵人，但用完就空。,,,A,
items,物品卡,□,滑板,平地移動快速，也能搬運物資，但地形限制很大。,,,C,
items,物品卡,□,熱水瓶,保溫與儲水兼具，也能提供心理安定感。,,,B,
items,物品卡,□,捕鼠夾,可設陷阱、捕小動物，但需要精準擺放。,,,C,
items,物品卡,□,望遠鏡頭,觀察距離大幅提升，但缺少相機時用途變窄。,,,B,
items,物品卡,□,雨鞋,穿越積水與泥地安全，行動聲音較明顯。,,,B,
items,物品卡,□,指南針卡,輕薄好攜帶，準確度與耐用性普通。,,,B,
items,物品卡,□,空玻璃瓶,可裝水、製造聲響、當容器，也容易碎。,,,B,
items,物品卡,□,醫療手冊,把知識帶在身上，但讀懂與操作仍需冷靜。,,,B,
items,物品卡,□,小鏡頭攝影機,留下證據與偵查畫面，但需要電力與儲存空間。,,,B,
items,物品卡,□,折疊梯,跨越高度障礙，但重量和展開時間是問題。,,,A,
items,物品卡,□,防水火柴,比普通火柴可靠，仍然要省著用。,,,A,
items,物品卡,□,胡椒噴霧,近距離防身有效，但風向錯了可能害到自己。,,,A,
items,物品卡,□,指南旗,集合與標記位置清楚，但會暴露行蹤。,,,B,
items,物品卡,□,折疊水桶,能運水與收納，沒水源時價值下降。,,,B,
items,物品卡,□,衛星電話,求救神器，但訊號、電力與權限都可能卡住。,,,A,
items,物品卡,□,手搖發電機,不用靠天氣也能供電，但需要體力與時間。,,,A,
items,物品卡,□,夜視鏡,夜間優勢明顯，但電力與視野限制要考慮。,,,A,
items,物品卡,□,防彈背心,提高防護，但沉重且不能保護全身。,,,A,
items,物品卡,□,迷你瓦斯爐,能煮水煮食，燃料有限且要通風。,,,A,
items,物品卡,□,折疊鋸,處理木材與障礙好用，但速度不快。,,,A,
items,物品卡,□,醫療夾板,穩定骨折傷勢，關鍵時刻能讓隊友移動。,,,B,
items,物品卡,□,反光背心,救援時醒目，躲避危險時反而麻煩。,,,B,
items,物品卡,□,針線包,修補裝備與衣物，細小卻能延長資源壽命。,,,B,
items,物品卡,□,防水筆,能在潮濕環境留下訊息，資訊傳遞穩定。,,,B,
items,物品卡,□,鋼杯,能喝水、煮水、量取物品，簡單但耐用。,,,A,
items,物品卡,□,小型濾網,過濾雜質或捕捉小物，不能處理細菌病毒。,,,B,
items,物品卡,□,指南手冊,提供規則與步驟，但現場判斷仍不可少。,,,B,
items,物品卡,□,求生毯,保暖、反光、防潮，輕便但易破。,,,A,
items,物品卡,□,多功能筆,能書寫、照明或破窗，功能多但每項都有限。,,,B,
items,物品卡,□,塑膠水管,導水、吹氣、連接裝置，創意空間很大。,,,C,
items,物品卡,□,小型鎖頭,保護資源與封鎖入口，但鑰匙要保管好。,,,B,
items,物品卡,□,乾糧包,快速補充能量，不需烹調但口味單調。,,,A,
items,物品卡,□,布條,包紮、標記、綁定都能用，材質決定強度。,,,B,
items,物品卡,□,透明膠片,防水、遮擋、透視記號，輕巧但防護有限。,,,C,
items,物品卡,□,磁鐵,尋找金屬、固定小物、做簡易實驗，需創意使用。,,,C,
items,物品卡,□,小風扇,散熱、排煙、測風向，電力是最大限制。,,,C,
items,物品卡,□,伸縮棍,防身與探路都能用，但需要距離控制。,,,A,
items,物品卡,□,折疊船槳,遇到水域價值暴增，陸地上就很尷尬。,,,B,
items,物品卡,□,乾冰箱,保存藥品與食物，重量與冷源維持是挑戰。,,,B,
items,物品卡,□,舊手機,可照明、錄音、儲存資料，沒有網路也不是廢物。,,,B,
items,物品卡,□,密碼鎖箱,保護重要物資，但開錯時也會拖慢行動。,,,C,
items,物品卡,□,紙牌,看似娛樂品，其實能維持士氣、抽籤與設計暗號。,,,C,
items,物品卡,□,小型投影機,可教學、誘導、製造影像假象，但耗電高。,,,C,
items,物品卡,□,滑輪組,能省力搬運重物，需要繩索與固定點配合。,,,B,
items,物品卡,□,空氣品質偵測器,能判斷看不見的危險，但數據需要解讀。,,,B,
items,物品卡,□,微型顯微鏡,能檢查未知物質，對生存直接性較低。,,,C,
items,物品卡,□,衛生紙,清潔、引火、包裹都能用，濕掉就大幅失效。,,,B,
items,物品卡,□,折疊桌,可作平台、盾牌、臨時擔架，但體積不小。,,,B,
