牌組ID,牌組名稱,牌組圖示,卡牌名稱,說明,卡牌圖示,圖片,稀有度,標籤
items,物品類,□,蠟燭,照明與計時工具，不需電池，但怕風也怕水。,,,普通,
items,物品類,□,肥皂,清潔、降低感染、保持秩序，常被低估。,,,普通,
items,物品類,□,背包,讓資源能被帶走，但裝越多越拖慢速度。,,,普通,
items,物品類,□,縫衣針,修補衣物與裝備，也能處理細小操作。,,,普通,
items,物品類,□,鋁箔紙,保溫、反光、包裹食物，輕巧但脆弱。,,,普通,
items,物品類,□,口罩,阻隔灰塵與飛沫，有基本防護但不是萬能。,,,普通,
items,物品類,□,手套,保護雙手，讓人敢搬尖銳物，但會降低觸感。,,,普通,
items,物品類,□,小鏟子,比鏟子輕，適合細部挖掘，但力量有限。,,,普通,
items,物品類,□,保鮮膜,封存食物、包紮、隔水，創意用法很多。,,,普通,
items,物品類,□,彈珠,能製造滑倒陷阱或分散注意，但效果不穩定。,,,普通,
items,物品類,□,粉筆,標記路線與訊息，簡單便宜但遇水就消失。,,,普通,
items,物品類,□,垃圾袋,可當雨披、水袋、收納袋，是被低估的生存道具。,,,普通,
items,物品類,□,小刀,切割能力直接明確，但距離短也有安全風險。,,,普通,
items,物品類,□,罐頭開罐器,在罐頭很多時是神器，在罐頭很少時像是裝飾。,,,普通,
items,物品類,□,防曬乳,長時間戶外任務能保護皮膚，但不能提供立即戰力。,,,普通,
items,物品類,□,小型無人機,偵查快速安全，但電量、噪音與操控都是問題。,,,普通,
items,物品類,□,淨水錠,輕便又能處理飲水危機，但數量有限且需要等待。,,,普通,
items,物品類,□,指南針手錶,方向與時間二合一，但仍需要地圖與判斷。,,,普通,
items,物品類,□,折疊椅,休息、墊高、阻擋都可用，但不算關鍵裝備。,,,普通,
items,物品類,□,滅火器,能處理火災也可短暫阻擋敵人，但用完就空。,,,普通,
items,物品類,□,滑板,平地移動快速，也能搬運物資，但地形限制很大。,,,普通,
items,物品類,□,熱水瓶,保溫與儲水兼具，也能提供心理安定感。,,,普通,
items,物品類,□,捕鼠夾,可設陷阱、捕小動物，但需要精準擺放。,,,普通,
items,物品類,□,望遠鏡頭,觀察距離大幅提升，但缺少相機時用途變窄。,,,普通,
items,物品類,□,雨鞋,穿越積水與泥地安全，行動聲音較明顯。,,,普通,
items,物品類,□,指南針卡,輕薄好攜帶，準確度與耐用性普通。,,,普通,
items,物品類,□,空玻璃瓶,可裝水、製造聲響、當容器，也容易碎。,,,普通,
items,物品類,□,醫療手冊,把知識帶在身上，但讀懂與操作仍需冷靜。,,,普通,
items,物品類,□,小鏡頭攝影機,留下證據與偵查畫面，但需要電力與儲存空間。,,,普通,
items,物品類,□,折疊梯,跨越高度障礙，但重量和展開時間是問題。,,,普通,
items,物品類,□,防水火柴,比普通火柴可靠，仍然要省著用。,,,普通,
items,物品類,□,胡椒噴霧,近距離防身有效，但風向錯了可能害到自己。,,,普通,
items,物品類,□,指南旗,集合與標記位置清楚，但會暴露行蹤。,,,普通,
items,物品類,□,折疊水桶,能運水與收納，沒水源時價值下降。,,,普通,
items,物品類,□,衛星電話,求救神器，但訊號、電力與權限都可能卡住。,,,普通,
items,物品類,□,手搖發電機,不用靠天氣也能供電，但需要體力與時間。,,,普通,
items,物品類,□,夜視鏡,夜間優勢明顯，但電力與視野限制要考慮。,,,普通,
items,物品類,□,防彈背心,提高防護，但沉重且不能保護全身。,,,普通,
items,物品類,□,迷你瓦斯爐,能煮水煮食，燃料有限且要通風。,,,普通,
items,物品類,□,折疊鋸,處理木材與障礙好用，但速度不快。,,,普通,
items,物品類,□,醫療夾板,穩定骨折傷勢，關鍵時刻能讓隊友移動。,,,普通,
items,物品類,□,反光背心,救援時醒目，躲避危險時反而麻煩。,,,普通,
items,物品類,□,針線包,修補裝備與衣物，細小卻能延長資源壽命。,,,普通,
items,物品類,□,防水筆,能在潮濕環境留下訊息，資訊傳遞穩定。,,,普通,
items,物品類,□,鋼杯,能喝水、煮水、量取物品，簡單但耐用。,,,普通,
items,物品類,□,小型濾網,過濾雜質或捕捉小物，不能處理細菌病毒。,,,普通,
items,物品類,□,指南手冊,提供規則與步驟，但現場判斷仍不可少。,,,普通,
items,物品類,□,求生毯,保暖、反光、防潮，輕便但易破。,,,普通,
items,物品類,□,多功能筆,能書寫、照明或破窗，功能多但每項都有限。,,,普通,
items,物品類,□,塑膠水管,導水、吹氣、連接裝置，創意空間很大。,,,普通,
items,物品類,□,小型鎖頭,保護資源與封鎖入口，但鑰匙要保管好。,,,普通,
items,物品類,□,乾糧包,快速補充能量，不需烹調但口味單調。,,,普通,
items,物品類,□,布條,包紮、標記、綁定都能用，材質決定強度。,,,普通,
items,物品類,□,透明膠片,防水、遮擋、透視記號，輕巧但防護有限。,,,普通,
items,物品類,□,磁鐵,尋找金屬、固定小物、做簡易實驗，需創意使用。,,,普通,
items,物品類,□,小風扇,散熱、排煙、測風向，電力是最大限制。,,,普通,
items,物品類,□,伸縮棍,防身與探路都能用，但需要距離控制。,,,普通,
items,物品類,□,折疊船槳,遇到水域價值暴增，陸地上就很尷尬。,,,普通,
items,物品類,□,乾冰箱,保存藥品與食物，重量與冷源維持是挑戰。,,,普通,
items,物品類,□,舊手機,可照明、錄音、儲存資料，沒有網路也不是廢物。,,,普通,
items,物品類,□,密碼鎖箱,保護重要物資，但開錯時也會拖慢行動。,,,普通,
items,物品類,□,紙牌,看似娛樂品，其實能維持士氣、抽籤與設計暗號。,,,普通,
items,物品類,□,小型投影機,可教學、誘導、製造影像假象，但耗電高。,,,普通,
items,物品類,□,滑輪組,能省力搬運重物，需要繩索與固定點配合。,,,普通,
items,物品類,□,空氣品質偵測器,能判斷看不見的危險，但數據需要解讀。,,,普通,
items,物品類,□,微型顯微鏡,能檢查未知物質，對生存直接性較低。,,,普通,
items,物品類,□,衛生紙,清潔、引火、包裹都能用，濕掉就大幅失效。,,,普通,
items,物品類,□,折疊桌,可作平台、盾牌、臨時擔架，但體積不小。,,,普通,
jobs,職業類,△,醫生,能處理受傷、判斷感染風險，是災後隊伍的安全保障。,,,普通,
jobs,職業類,△,工程師,能修設備、搭結構、找替代方案，但需要工具與材料。,,,普通,
jobs,職業類,△,廚師,能管理食物與士氣，把有限資源變成可持續補給。,,,普通,
jobs,職業類,△,老師,能組織學習、分配任務、穩定孩子與團隊秩序。,,,普通,
jobs,職業類,△,消防員,熟悉救援、火場與危機處理，體能和紀律都強。,,,普通,
jobs,職業類,△,農夫,懂種植、土地與季節，是長期生存的重要角色。,,,普通,
jobs,職業類,△,律師,擅長規則、談判與權利防守，能處理團隊衝突。,,,普通,
jobs,職業類,△,心理師,能處理恐懼、衝突與崩潰，讓團隊不被壓力瓦解。,,,普通,
jobs,職業類,△,記者,能查證、提問、傳播真相，但可能帶來外部壓力。,,,普通,
jobs,職業類,△,程式設計師,能處理系統、資料與自動化，但離開電力會受限。,,,普通,
jobs,職業類,△,建築師,能設計安全空間與避難所，需有人力實作。,,,普通,
jobs,職業類,△,護士,照護細節強，能長時間維持傷患狀態。,,,普通,
jobs,職業類,△,警察,維持秩序與風險判斷，但權威也可能引發反感。,,,普通,
jobs,職業類,△,翻譯員,跨語言溝通很關鍵，尤其面對陌生族群或外星文明。,,,普通,
jobs,職業類,△,植物學家,能辨識可食植物與毒物，對探索環境很有幫助。,,,普通,
jobs,職業類,△,天文學家,理解星象與宇宙環境，適合太空任務但生活技能需補強。,,,普通,
jobs,職業類,△,機師,操控載具與判斷天候，危機中能帶領移動。,,,普通,
jobs,職業類,△,商人,擅長交換、談判、資源配置，但需要被信任。,,,普通,
jobs,職業類,△,藝術家,提供想像力、記錄與士氣，不是立即求生但能保存文明。,,,普通,
jobs,職業類,△,運動員,體能、毅力與競爭心強，可執行高風險任務。,,,普通,
jobs,職業類,△,導遊,擅長帶隊、說明與安排行程，在陌生地很有價值。,,,普通,
jobs,職業類,△,科學家,能提出假設、測試未知風險，但需要時間。,,,普通,
jobs,職業類,△,水電工,修復基礎設施的實務能力強，非常接地氣。,,,普通,
jobs,職業類,△,社工,擅長照顧弱勢、協調資源、降低內部衝突。,,,普通,
environments,環境類,◎,殭屍末日,城市秩序崩潰，街道危險且資源有限，任何聲響都可能帶來麻煩。,,,普通,危機|城市|生存
environments,環境類,◎,神秘星球,空氣、重力與生物都不確定，探索者必須先判斷未知規則。,,,普通,科幻|探索|未知
environments,環境類,◎,遠古叢林,潮濕、茂密、野生動物多，方向感與補給管理會被嚴重考驗。,,,普通,自然|野外|潮濕
environments,環境類,◎,炙熱沙漠,高溫、缺水、日夜溫差大，水源與遮蔽比力量更重要。,,,普通,乾旱|高溫|野外
environments,環境類,◎,無人島,四面環海，資源有限，必須同時處理求生、訊號與長期等待。,,,普通,海島|求救|長期
environments,環境類,◎,極地冰原,低溫、強風、視線受阻，保暖與移動效率決定生死。,,,普通,寒冷|極地|低溫
environments,環境類,◎,地下洞穴,黑暗、狹窄、路線複雜，照明與方向判斷是核心問題。,,,普通,黑暗|地形|封閉
environments,環境類,◎,廢棄醫院,物資可能豐富，但空間複雜且心理壓力很高。,,,普通,城市|醫療|驚悚
environments,環境類,◎,暴雨山區,道路濕滑、落石與失溫風險高，移動與避難都很困難。,,,普通,山地|暴雨|失溫
environments,環境類,◎,太空船,空間封閉、氧氣有限，任何小故障都可能變成大危機。,,,普通,科幻|封閉|資源
environments,環境類,◎,海底基地,高壓、缺氧、撤離困難，外部環境本身就是威脅。,,,普通,海洋|封閉|高壓
environments,環境類,◎,火山邊緣,高溫、毒氣與地形不穩，撤離速度與判斷非常重要。,,,普通,高溫|災害|地形
environments,環境類,◎,中世紀城堡,厚牆、密道與階級秩序並存，防守容易但資訊流動慢。,,,普通,歷史|防守|封閉
environments,環境類,◎,未來都市,科技高度發達，但監控、能源與系統故障都會影響行動。,,,普通,城市|科幻|科技
environments,環境類,◎,巨型迷宮,路線混亂、出口未知，記錄與團隊分工會比速度更可靠。,,,普通,推理|地形|迷失
environments,環境類,◎,游泳池,有大量水源但未必可飲用，濕滑、深水與空間限制需要判斷。,,,普通,日常|水域|推理
environments,環境類,◎,百貨公司,物資多、人流與動線複雜，選擇太多也可能拖慢決策。,,,普通,城市|室內|資源
environments,環境類,◎,火車站,路線多、噪音大、人群流動快，資訊辨識是關鍵。,,,普通,交通|城市|人群
environments,環境類,◎,學校夜晚,熟悉空間變得陌生，教室、操場與器材室都可能成為線索。,,,普通,日常|夜晚|校園
environments,環境類,◎,古代戰場,資源粗糙、衝突明確，策略與士氣會影響存活。,,,普通,歷史|衝突|野外
environments,環境類,◎,豪華郵輪,空間巨大且漂浮海上，資源、階層與撤離問題交錯。,,,普通,海洋|交通|室內
environments,環境類,◎,雲端城市,高空、科技、交通斷層並存，墜落與能源是最大威脅。,,,普通,科幻|高空|城市
environments,環境類,◎,深夜便利商店,物資集中但空間小，外部危機會逼迫快速選擇。,,,普通,日常|城市|資源
environments,環境類,◎,失控實驗室,未知物質、封鎖門與安全規範混在一起，知識與冷靜很重要。,,,普通,科學|危機|室內
environments,環境類,◎,漂流木筏,空間極小、物資有限、方向難控，任何物品都要發揮最大價值。,,,普通,水域|求生|限制
