牌組ID,牌組名稱,牌組圖示,卡牌名稱,說明,卡牌圖示,圖片,稀有度,標籤
items,物品卡,□,小型鎖頭,保護資源與封鎖入口，但鑰匙要保管好。,"
item_小型鎖頭
",,B,
items,物品卡,□,軍用乾糧,快速補充能量，口味單調但不需烹調。,"
item_軍用乾糧
",,A,
items,物品卡,□,布條,包紮、標記、綁定都能用，材質決定強度。,"
item_布條
",,B,
items,物品卡,□,磁鐵,尋找金屬、固定小物、做簡易實驗，需創意使用。,"
item_磁鐵
",,C,
items,物品卡,□,小風扇,散熱、排煙、測風向，電力是最大限制。,"
item_小風扇
",,C,
items,物品卡,□,伸縮棍,防身與探路都能用，但需要距離控制。,"
item_伸縮棍
",,A,
items,物品卡,□,船槳,遇到水域價值暴增，陸地上或許有妙用。,"
item_船槳
",,B,
items,物品卡,□,冰箱,保存藥品與食物，重量是個挑戰。,"
item_冰箱
",,B,
items,物品卡,□,舊手機,可照明、錄音、儲存資料，沒有網路也不是廢物。,"
item_舊手機
",,B,
items,物品卡,□,密碼鎖箱,保護重要物資，但開錯時也會拖慢行動。,"
item_密碼鎖箱
",,C,
items,物品卡,□,紙牌,看似娛樂品，其實能維持士氣、抽籤與設計暗號。,"
item_紙牌
",,C,
items,物品卡,□,小型投影機,可教學、誘導、製造影像假象，但耗電高。,"
item_小型投影機
",,C,
items,物品卡,□,滑輪組,能省力搬運重物，需要繩索與固定點配合。,"
item_滑輪組
",,B,
items,物品卡,□,微型顯微鏡,能檢查未知物質，對生存直接性較低。,"
item_微型顯微鏡
",,C,
items,物品卡,□,衛生紙,清潔、引火、包裹都能用，濕掉就大幅失效。,"
item_衛生紙
",,B,
items,物品卡,□,折疊桌,可作平台、盾牌、臨時擔架，但體積不小。,"
item_折疊桌
",,B,
items,物品卡,□,相冊,收藏回憶、整理人生片段，適合賣給重視紀念感或家庭關係的人。,item_相冊,,N,銷售|N卡
items,物品卡,□,戒指,象徵承諾、身份與品味，真正販售的是意義而不只是金屬。,item_戒指,,N,銷售|N卡
items,物品卡,□,鉛筆,便宜、可修改、低壓力，適合包裝成創作與練習的起點。,item_鉛筆,,N,銷售|N卡
items,物品卡,□,皮衣,強烈風格與保護感並存，能賣給想展現態度的人。,item_皮衣,,N,銷售|N卡
items,物品卡,□,香水,把氣味變成記憶與自我形象，適合主打場合、魅力與辨識度。,item_香水,,N,銷售|N卡
items,物品卡,□,咖啡杯,日常陪伴感很強，適合包裝成工作儀式或送禮選擇。,item_咖啡杯,,N,銷售|N卡
items,物品卡,□,項鍊,接近心口的飾品，適合主打紀念、祝福與個人風格。,item_項鍊,,N,銷售|N卡
items,物品卡,□,帆布袋,輕便、環保、可印圖案，能賣給學生、通勤者與品牌支持者。,item_帆布袋,,N,銷售|N卡
items,物品卡,□,太陽眼鏡,遮陽之外也是造型，適合賣給在意照片與外出形象的人。,item_太陽眼鏡,,N,銷售|N卡
items,物品卡,□,絨毛玩具,提供陪伴與安慰，適合兒童、粉絲或需要情緒支持的人。,item_絨毛玩具,,N,銷售|N卡
items,物品卡,□,旅行枕,解決移動中的疲勞，適合賣給通勤族、旅人與出差者。,item_旅行枕,,N,銷售|N卡
items,物品卡,□,陶瓷碗,日常吃飯工具，也能被包裝成溫度、質感與餐桌美學。,item_陶瓷碗,,N,銷售|N卡
items,物品卡,□,木梳,功能簡單但有自然質感，可賣給重視養護與手感的人。,item_木梳,,N,銷售|N卡
items,物品卡,□,鑰匙圈,小而常見，適合主打紀念、識別與低門檻送禮。,item_鑰匙圈,,N,銷售|N卡
items,物品卡,□,明信片,把一句話變成可保存的心意，適合觀光、祝福與收藏情境。,item_明信片,,N,銷售|N卡
items,物品卡,□,圍巾,保暖之外也能搭配造型，適合主打關心與季節禮物。,item_圍巾,,N,銷售|N卡
items,物品卡,□,電動牙刷,把清潔效率與健康感放大，適合賣給懶得仔細刷牙的人。,item_電動牙刷,,N,銷售|N卡
items,物品卡,□,桌曆,每天都會被看到，適合賣給需要提醒、規劃與品牌曝光的人。,item_桌曆,,N,銷售|N卡
items,物品卡,□,花瓶,不只是容器，而是讓空間有主題，適合賣給佈置愛好者。,item_花瓶,,N,銷售|N卡
items,物品卡,□,盆栽,提供生命感與陪伴，適合賣給想改善桌面或心情的人。,item_盆栽,,N,銷售|N卡
items,物品卡,□,便當盒,控制飲食與節省花費，適合賣給學生、上班族與健身族群。,item_便當盒,,N,銷售|N卡
items,物品卡,□,保溫杯,讓飲品保持溫度，賣點可以是照顧自己與減少外帶浪費。,item_保溫杯,,N,銷售|N卡
items,物品卡,□,皮夾,整理金錢與證件，也展示成熟、秩序與個人品味。,item_皮夾,,N,銷售|N卡
items,物品卡,□,名片夾,讓第一印象更正式，適合賣給業務、新鮮人與創業者。,item_名片夾,,N,銷售|N卡
items,物品卡,□,手工皂,清潔之外有香味、成分與手作故事，適合主打天然與送禮。,item_手工皂,,N,銷售|N卡
items,物品卡,□,髮夾,小物能快速改變造型，適合賣給需要方便整理頭髮的人。,item_髮夾,,N,銷售|N卡
items,物品卡,□,帽T,舒適、休閒、有團體識別感，適合班服、社團或品牌周邊。,item_帽T,,N,銷售|N卡
items,物品卡,□,球鞋,移動、運動與造型三合一，適合主打舒適和自我風格。,item_球鞋,,N,銷售|N卡
items,物品卡,□,桌燈,提供專注與安全感，適合賣給讀書、工作或夜間創作者。,item_桌燈,,N,銷售|N卡
items,物品卡,□,靠枕,改善坐姿與休息感，適合賣給長時間坐著的人。,item_靠枕,,N,銷售|N卡
items,物品卡,□,拼圖,提供挑戰、專注與完成感，適合家庭、情侶與紓壓族群。,item_拼圖,,N,銷售|N卡
items,物品卡,□,棋盤,創造面對面互動，適合賣給家庭、社團與策略遊戲愛好者。,item_棋盤,,N,銷售|N卡
items,物品卡,□,茶包,低成本創造放鬆時刻，適合賣給需要休息儀式的人。,item_茶包,,N,銷售|N卡
items,物品卡,□,果醬,把普通吐司變成有風味的早餐，適合主打手作與幸福感。,item_果醬,,N,銷售|N卡
items,物品卡,□,巧克力,快速提供獎勵、安慰與心意，適合節慶與告白情境。,item_巧克力,,N,銷售|N卡
items,物品卡,□,餅乾禮盒,容易分享與送禮，適合主打體面、方便與節慶氣氛。,item_餅乾禮盒,,N,銷售|N卡
items,物品卡,□,貼紙包,便宜但能表達個性，適合學生、手帳族與粉絲社群。,item_貼紙包,,N,銷售|N卡
items,物品卡,□,手帳,把生活變得有計畫，適合賣給想自律或記錄成長的人。,item_手帳,,N,銷售|N卡
items,物品卡,□,鋼筆,書寫儀式感強，適合賣給重視質感、簽名與收藏的人。,item_鋼筆,,N,銷售|N卡
items,物品卡,□,畫框,讓作品或照片變得正式，適合賣給想保存重要畫面的人。,item_畫框,,N,銷售|N卡
items,物品卡,□,唱片,賣的是音樂品味與收藏感，適合復古愛好者與粉絲。,item_唱片,,N,銷售|N卡
items,物品卡,□,耳機,創造私人聲音空間，適合通勤、讀書與需要專注的人。,item_耳機,,N,銷售|N卡
items,物品卡,□,行李箱,承載移動與旅行期待，適合賣給旅人、學生與出差族。,item_行李箱,,N,銷售|N卡
items,物品卡,□,鬧鐘,把起床變成明確承諾，適合賣給想改善作息的人。,item_鬧鐘,,N,銷售|N卡
items,物品卡,□,毛毯,提供溫暖與安全感，適合居家、露營與禮物情境。,item_毛毯,,N,銷售|N卡
items,物品卡,□,餐墊,保護桌面也建立餐桌風格，適合賣給重視生活感的人。,item_餐墊,,N,銷售|N卡
items,物品卡,□,皮革筆袋,整理文具並展現質感，適合學生、上班族與手作愛好者。,item_皮革筆袋,,N,銷售|N卡
items,物品卡,□,香氛卡片,小小一張就能改變空間氣味，適合放在衣櫃、書桌或禮物中。,item_香氛卡片,,N,銷售|N卡
items,物品卡,□,折疊購物袋,把臨時購物變得方便又環保，適合通勤者、市場採買者與旅行者。,item_折疊購物袋,,N,銷售|N卡
items,物品卡,□,金屬書籤,讓閱讀進度變得精緻可保存，適合送給學生、讀者與文具收藏者。,item_金屬書籤,,N,銷售|N卡
